,uu,x,y
ABplaapaaa,383.9884166,-116.1520965,38.05529645
ABplaapaap,299.4353682,-88.0768155,36.42921775
ABplaapap,216.4965277,-56.8295548,38.97949735
ABplaapapa,250.2217409,-73.2355836,31.31072945
ABplaapapp,186.0271774,-48.758219,33.60012175
ABplaapp,224.3401178,-55.0462423,45.48904515
ABplaappa,153.9029146,-34.3132505,34.96434255
ABplaappp,109.0836062,3.8739589,34.50560575
ABplap,198.4586741,-24.6570607,58.16055215
ABplapa,256.1454308,-50.5207818,63.99517385
ABplapaa,252.5679293,-55.3513733,58.30574935
ABplapaaa,138.9189434,-14.2829614,41.84902775
ABplapaaaa,128.1624439,-5.6738441,40.39888545
ABplapaaap,136.3297293,19.6159481,38.70851765
ABplapaap,150.3264941,22.7088785,42.11850545
ABplapaapa,151.8752701,33.0314079,35.29887265
ABplapap,182.1633239,-13.552947,56.37824715
ABplapapa,208.322376,51.6451889,41.59245975
ABplapapaa,377.2454757,114.3932707,36.51872995
ABplapapp,315.0765347,91.6559001,40.71457245
ABplapappp,501.1064256,154.4409564,39.88126485
ABplapp,162.961806,-11.9052277,50.48768815
ABplappa,142.1362189,-8.3526667,44.46565995
ABplappaa,169.5974388,41.3324871,34.72688045
ABplappap,265.547422,77.1691628,34.49097685
ABplappapa,306.7062869,91.3364997,34.47898715
ABplappp,183.6123835,40.8217113,41.82678995
ABplapppa,318.9449546,95.4839425,34.49353135
ABplapppaa,350.6062442,105.8016886,35.50891005
ABplapppap,408.4911019,124.1982485,38.49353695
ABplapppp,396.1927779,120.8964253,35.89304355
ABplappppp,488.5815125,149.2327223,43.77403655
ABplp,125.8915329,4.0314859,39.86921045
ABplpa,116.4205075,-14.3469562,34.16789835
ABplpaa,143.5212195,-29.9673379,34.48197925
ABplpaaa,286.9274249,-85.6963416,31.58546025
ABplpaaaa,300.5421916,-89.9987834,32.43634685
ABplpaaaaa,291.6567777,-87.8475723,30.02592835
ABplpaaaap,214.2513465,-62.5396407,27.19934605
ABplpaaap,205.0584072,-57.9588687,30.02030915
ABplpaaapa,204.7839991,-60.4606931,24.36306665
ABplpaaapp,144.0765657,-39.1247851,23.92659765
ABplpaap,182.7343482,-48.4905423,32.12426285
ABplpaapa,208.7087562,-59.4527361,29.64551495
ABplpaapaa,263.7375814,-79.4947788,26.98572905
ABplpaapap,189.8191423,-55.5136671,23.85303785
ABplpaapp,115.6898174,-21.9143261,29.59490825
ABplpaappa,125.388571,-32.4189746,23.28114035
ABplpaappp,78.38589933,-11.1047051,22.34364025
ABplpap,117.4176367,21.8111792,30.35090825
ABplpapa,149.5881587,-38.5193099,27.99085755
ABplpapaa,171.5683559,-43.6712853,32.79144525
ABplpapaaa,155.6136357,-37.5559966,32.29707015
ABplpapaap,103.8332902,-12.9056529,30.42734765
ABplpapap,119.5180886,-18.4282654,33.28256195
ABplpapapa,94.9022581,-4.4121779,29.88437225
ABplpapapp,127.4136684,23.1655798,33.29006785
ABplpapp,91.98173542,7.7092581,28.24551935
ABplpappa,112.1476754,0.0825973,35.69761825
ABplpappaa,128.4620107,-12.4027749,38.96437875
ABplpappp,160.7738492,35.5064121,36.85468785
ABplpapppa,172.9890807,36.7847907,40.97484705
ABplpapppp,257.2571174,68.8434051,44.34124005
ABplpp,192.5867442,47.1027271,39.23392345
ABplppa,155.7742156,27.6851091,41.13580775
ABplppaa,114.8224613,-15.9427453,32.88871205
ABplppaaa,104.3931508,-12.547147,30.76946965
ABplppaaaa,121.1171668,-22.6374703,31.20677295
ABplppaap,117.7341383,17.3696958,33.20752565
ABplppaapa,100.5706957,14.385846,28.59819895
ABplppaapp,160.8523563,41.1465383,30.47120045
ABplppap,128.6597227,22.398503,34.28570355
ABplppapa,137.8754641,29.3445893,32.63394965
ABplppapaa,93.18670072,9.8208034,27.98929765
ABplppapap,148.7102488,38.9826281,26.85230245
ABplppapp,226.8553653,64.1232539,33.20446555
ABplppappa,203.7888423,57.4356018,30.14978415
ABplppappp,282.6991399,84.1934884,31.76356875
ABplppp,257.0528,73.8109099,35.31094015
ABplpppa,164.5241507,42.7405904,30.26257765
ABplpppaa,200.7899849,55.2496698,32.13100445
ABplpppaaa,221.8023984,63.0833821,31.70354315
ABplpppaap,305.1025797,91.2025531,33.37421935
ABplpppap,299.4256752,89.3333,33.22027545
ABplpppapa,369.5087508,110.8818455,39.23363485
ABplpppp,259.1649206,75.9738777,32.14583545
ABplppppa,217.0043122,59.2776253,35.46076675
ABplppppaa,196.2449688,50.9866309,36.08952465
ABplppppap,272.3554626,77.5597723,38.73284935
ABplppppp,298.3611493,86.7767636,38.59199115
ABplpppppa,317.3932183,90.4478962,45.01241575
ABplpppppp,388.1541162,114.6711761,45.99932035
ABpr,279.4382459,61.5336284,64.22889925
ABpra,274.4834652,50.397393,71.37057915
ABpraa,248.7445669,22.5730097,75.89197535
ABpraaa,257.4515415,-17.0007651,80.16653525
ABpraaaa,291.5007261,-49.7690861,78.31072665
ABpraaaaa,390.794374,-98.66248,75.75955915
ABpraaaaaa,432.779775,-111.9017004,80.34487105
ABpraaaaap,401.4789648,-96.6171627,83.64577245
ABpraaaap,332.6130062,-71.0018019,78.53693225
ABpraaaapa,378.8980422,-88.3186582,82.13319245
ABpraaaapp,345.3137802,-68.7798578,85.73815895
ABpraaap,258.4161969,-13.980418,81.05965845
ABpraaapa,348.3871912,-79.7446201,77.06176695
ABpraaapaa,397.038912,-100.916544,76.07964355
ABpraaapap,359.206472,-82.1452132,79.53341615
ABpraaapp,276.7308949,-41.5483837,77.67178935
ABpraaappa,320.3901773,-63.6172244,79.70856075
ABpraaappp,282.7414109,-37.4402263,81.84203685
ABpraap,252.2460036,31.4022335,73.89701415
ABpraapa,258.8506994,11.2721139,81.62004705
ABpraapaa,288.7633865,-44.4404007,80.45897145
ABpraapaaa,420.1594634,-108.394328,78.34092755
ABpraapaap,352.6574787,-77.6927248,81.02396115
ABpraapap,253.6371213,-7.9453097,80.34329525
ABpraapapa,322.4051172,-58.7268777,84.16050325
ABpraapapp,284.3213422,-34.2144272,83.78566825
ABpraapp,293.670707,51.2266357,78.19221425
ABpraappa,258.0947738,10.5733941,81.47086875
ABpraappp,293.3719056,49.6666239,79.07998725
ABprap,361.3453454,87.5161167,74.63566665
ABprapa,314.0763294,62.3721901,78.13085645
ABprapaa,289.7340834,44.6289424,80.70780185
ABprapaaa,266.5725198,28.3668399,79.97060545
