,uu,x,y
Daa,231.8276705,62.5625939,39.13226945
Daaa,120.766458,20.325365,32.62824125
Daap,180.1758549,45.4945022,34.92097035
Dap,364.9718023,108.172577,42.36888865
Dapa,194.3143365,51.448742,34.33246885
Dapp,287.8976952,82.4270533,40.04741675
Dappa,194.562946,56.8678955,24.52609875
Dappp,338.4719301,104.2562355,27.17206645
Dp,474.2795926,143.7515238,46.11725435
Dpa,324.426382,84.9055511,58.78225055
Dpaa,253.6394345,24.8154145,76.82764565
Dpap,259.361504,46.1499669,68.45358595
Dpp,420.5916985,122.7859164,53.35794545
Dppa,293.5249202,55.6465195,75.05319315
Dppp,348.0028461,86.8688419,68.73431195
Dpppa,314.0196943,54.7036941,83.65776985
Dpppp,406.5498951,101.2461272,80.59697515
E,297.2317943,85.2339657,41.06783795
Ea,188.9495615,44.1120604,40.88384305
Eal,143.6606806,14.6400601,43.32175965
Eala,184.804427,-30.4705115,50.31836155
Ealaa,202.2702713,-38.8863846,51.31500065
Ealap,167.0796809,10.4184477,52.15265655
Ealp,156.7664875,18.4457412,46.36590175
Ealpp,195.5784811,38.885612,48.61625165
Ear,200.0276728,25.8830251,58.17248465
Eara,207.8520048,-18.8000424,63.43407895
Earaa,218.05477,-32.9474271,61.09070965
Earap,198.5799469,12.1694214,62.02744765
Earp,214.7508326,29.5919079,61.62013665
Earpp,236.8051266,47.947974,58.16138035
EMS,173.5867742,38.4723228,39.66015115
Ep,366.2433467,107.3271885,45.51383755
Epl,271.0373362,72.7568026,46.36407255
Epla,239.4987719,56.3259655,51.37250655
Eplaa,220.2206608,46.3258113,52.60899905
Eplap,309.6207132,84.2257028,51.17797225
Eplp,372.6448577,107.5814922,49.96105115
Eplpa,379.2625503,108.473119,52.98707225
Eplpp,433.3449089,128.0271831,51.34124635
Epr,354.8678112,97.2321835,57.49258235
Epra,286.9383218,66.0695612,63.06307115
Epraa,241.4772764,42.1569732,64.27252145
Eprap,321.4295681,82.4698767,60.55507285
Eprp,408.9284323,116.1398063,58.77689385
Eprpa,372.6482685,103.2515355,58.38888655
Eprpp,431.9609439,125.6777056,55.77329125
MS,138.8131922,-16.5328261,40.97601635
MSa,207.299225,-53.3687938,38.80520455
MSaa,287.7593481,-83.0720558,38.58729045
MSaaa,327.1973248,-95.1187579,42.42256745
MSaaaa,394.7411314,-115.3735804,49.76806815
MSaaaaa,461.2117303,-137.1108008,52.47181685
MSaaaaaa,512.6429551,-153.9340549,54.14607505
MSaaaaap,441.6699585,-130.4378328,52.44934125
MSaaaap,355.9323059,-100.8283782,51.67007495
MSaaaapa,387.4504514,-111.361872,52.99671635
MSaaaapp,294.7216027,-77.677178,52.60320735
MSaaap,252.423447,-65.4522342,46.60415585
MSaaapa,311.6284846,-85.2942842,50.64009795
MSaaapaa,352.0928691,-100.5762846,49.44831795
MSaaapap,269.2864771,-69.2854169,50.46640055
MSaaapp,222.9923943,-48.8803776,51.46810795
MSaap,159.7997022,-36.1104894,35.82408005
MSaapa,176.6492802,-40.6913511,38.80642035
MSaapaa,200.1810889,-45.2119609,44.90065165
MSaapaaa,221.4855094,-54.5977787,44.60355825
MSaapaap,172.3536574,-29.1861101,46.45423655
MSaapap,140.9285997,-5.2779357,44.54739355
MSaapapa,160.4883724,-23.311534,45.45605835
MSaapapp,140.7409306,4.4666219,44.57600545
MSaapp,129.1272153,12.4169198,39.18205045
MSaappa,147.0260116,12.1414083,45.19746205
MSaappp,169.6438917,33.7960711,42.11594695
MSaapppa,144.5492107,18.457741,42.14694135
MSaapppp,205.552438,51.7124892,40.08517595
MSap,132.2639236,-27.2199487,32.11792945
MSapa,152.3529306,-36.9657969,31.39009315
MSapaa,235.033347,-63.0531131,40.26605795
MSapaaa,370.2327026,-110.8831954,39.91541065
MSapaaaa,443.0566204,-134.8349749,41.33755775
MSapaap,260.8178572,-72.8109851,39.88772605
MSapaapp,228.7173064,-59.7974456,41.52757355
MSapap,136.9735088,-20.5851874,38.43451545
MSapapa,215.915916,-57.6738603,37.38030605
MSapapaa,298.4279297,-87.3799222,37.26037725
MSapapp,147.3814995,-26.05993,39.00908255
MSapp,122.7515492,23.5789137,31.15664665
MSappa,124.6336203,5.3185586,39.31398635
