,x,y,u
ABaraaappa,-118.2396335,62.67016955,133.8685854
ABaraaappp,-95.2206289,65.16658755,115.4401829
ABaraap,-72.606065,54.81330125,91.04533138
ABaraapa,-102.0305333,56.12059295,116.5033163
ABaraapaa,-124.8138855,50.23902935,134.5957921
ABaraapaaa,-135.9786231,50.74612425,145.1881401
ABaraapaap,-111.4300258,49.99880785,122.192945
ABaraapap,-92.7522904,50.17554705,105.5161392
ABaraapapa,-93.309913,47.22427225,104.6458114
ABaraapapp,-68.2686141,48.65835655,83.91841231
ABaraapp,-55.946627,54.17822695,77.96162986
ABaraappa,-83.872049,54.98014175,100.3502583
ABaraappaa,-120.819172,58.78801405,134.4169452
ABaraappap,-94.2894543,57.80872245,110.6629925
ABaraappp,-48.7962026,54.62944925,73.32963357
ABaraapppa,-71.7527257,58.17328105,92.44355547
ABaraapppp,-44.6910013,59.06887105,74.16661603
ABarap,-31.9488964,65.72897085,73.17628407
ABarapa,-61.3710531,70.35213195,93.42700225
ABarapaa,-77.3485659,68.90360665,103.6487684
ABarapaaa,-102.2177223,57.95587465,117.5585123
ABarapaaaa,-96.5462081,55.10752095,111.2211417
ABarapaaap,-76.227671,55.04984045,94.08793078
ABarapaap,-75.8154626,58.52602655,95.84086525
ABarapaapa,-91.4588809,56.34669825,107.479343
ABarapaapp,-67.089128,55.89920255,87.39213221
ABarapap,-36.9998855,66.94382635,76.57046399
ABarapapa,-53.9395045,60.94365745,81.45701899
ABarapapaa,-62.0039687,57.07659455,84.33127921
ABarapapap,-35.6836792,54.80000815,65.46448248
ABarapapp,-23.5649237,59.00386365,63.62341309
ABarapappa,-46.7769137,56.14820215,73.15927433
ABarapappp,-16.2046575,55.82280425,58.21740029
ABarapp,-9.3434343,62.10679855,62.90152756
ABarappa,-18.5851951,68.76373485,71.31844786
ABarappaa,-56.1416491,65.31201305,86.19648687
ABarappaaa,-61.4475075,64.74141565,89.32282188
ABarappaap,-35.1346038,63.85060155,72.95285333
ABarappap,-22.5050194,65.77597435,69.60238661
ABarappapa,-32.2141865,69.16652915,76.37013148
ABarappapp,-2.4403538,67.28670305,67.41130849
ABarappp,13.0175108,66.83558675,68.18063822
ABarapppa,-51.872634,69.96938015,87.17602386
ABarapppaa,-88.117003,69.48211775,112.2705896
ABarapppap,-63.7856323,68.88039645,93.94166105
ABarapppp,-19.9581955,71.22451205,74.05261298
ABarappppa,-55.2425398,72.21873095,90.99620067
ABarappppp,-29.3300544,75.09583895,80.69963863
ABarp,-21.784486,76.29887575,79.47639031
ABarpa,-55.9442415,76.79580845,95.11988841
ABarpaa,-85.6103972,75.80289145,114.4342415
ABarpaaa,-102.3295589,72.93823605,125.7374295
ABarpaaaa,-122.0460487,59.52809385,135.8873861
ABarpaaaaa,-136.9522012,60.57134565,149.8447935
ABarpaaaap,-115.6246761,54.95386345,128.1307106
ABarpaaap,-94.0439167,61.16355565,112.3021334
ABarpaaapa,-106.4258348,61.42678265,122.9910527
ABarpaap,-63.0852835,74.58703465,97.79264398
ABarpaapa,-66.2620192,63.18888545,91.68839969
ABarpaapp,-18.8955749,64.62726715,67.49391442
ABarpap,-41.368409,67.28424185,79.08251348
ABarpapa,-60.8846294,71.35529645,93.88985438
ABarpapaa,-97.1043806,71.76629245,120.8453436
ABarpapaaa,-118.4055587,71.64538435,138.4999486
ABarpapaap,-91.401847,73.35568425,117.3177345
ABarpapap,-64.157346,72.51753915,96.94405358
ABarpapp,-15.6062896,71.02718765,72.84130443
ABarpappa,-42.3118943,76.16423065,87.26603713
ABarpappp,-10.7254698,75.42330945,76.32365558
ABarpapppp,3.2906219,84.43896985,84.65463248
ABarpp,19.9065054,76.77413485,79.4491802
ABarppa,-25.4741015,77.23208695,81.465214
ABarppaa,-28.3812251,71.06069385,76.66818884
ABarppaaa,-8.2723149,55.02558205,55.86182186
ABarppaaap,25.6135069,46.20328715,53.04807084
ABarppaap,27.7036411,52.57568655,59.61898249
ABarppaapp,72.5476909,42.45150085,84.21401573
ABarppap,11.5350335,64.70225895,65.88386484
ABarppapa,52.8465975,46.95455235,70.85230632
ABarppapaa,46.1610392,34.61659135,57.92843244
ABarppapap,81.9583528,32.97093265,88.48215696
ABarppapp,97.8467764,45.72198035,108.1078902
ABarppappa,109.7708342,36.80762765,115.8836612
ABarppappp,146.9593386,37.83148035,151.8241034
ABarppp,27.7179171,75.31221305,80.3732586
ABarpppa,22.0362947,72.42430335,75.83285018
ABarpppaa,9.7124345,71.14947425,71.97859206
