,x,y,u
Ealp,18.4457412,46.36590175,50.05270153
Ealpp,38.885612,48.61625165,62.37838487
Ear,25.8830251,58.17248465,63.77021067
Eara,-18.8000424,63.43407895,66.2750897
Earaa,-32.9474271,61.09070965,69.52450512
Earap,12.1694214,62.02744765,63.33574696
Earp,29.5919079,61.62013665,68.45924999
Earpp,47.947974,58.16138035,75.47659894
EMS,38.4723228,39.66015115,55.4229333
Ep,107.3271885,45.51383755,116.6630859
Epl,72.7568026,46.36407255,86.3712453
Epla,56.3259655,51.37250655,76.34138001
Eplaa,46.3258113,52.60899905,70.22257559
Eplap,84.2257028,51.17797225,98.64771081
Eplp,107.5814922,49.96105115,118.6898587
Eplpa,108.473119,52.98707225,120.8044582
Eplpp,128.0271831,51.34124635,138.0034606
Epr,97.2321835,57.49258235,113.0282988
Epra,66.0695612,63.06307115,91.41958395
Epraa,42.1569732,64.27252145,76.98018511
Eprap,82.4698767,60.55507285,102.4016264
Eprp,116.1398063,58.77689385,130.2327861
Eprpa,103.2515355,58.38888655,118.6992311
Eprpp,125.6777056,55.77329125,137.5680781
MS,-16.5328261,40.97601635,44.35239881
MSa,-53.3687938,38.80520455,66.10458258
MSaa,-83.0720558,38.58729045,91.68323892
MSaaa,-95.1187579,42.42256745,104.2212359
MSaaaa,-115.3735804,49.76806815,125.708322
MSaaaaa,-137.1108008,52.47181685,146.8644106
MSaaaaaa,-153.9340549,54.14607505,163.2336058
MSaaaaap,-130.4378328,52.44934125,140.6577356
MSaaaap,-100.8283782,51.67007495,113.3761467
MSaaaapa,-111.361872,52.99671635,123.4194793
MSaaaapp,-77.677178,52.60320735,93.9267121
MSaaap,-65.4522342,46.60415585,80.43072509
MSaaapa,-85.2942842,50.64009795,99.26871501
MSaaapaa,-100.5762846,49.44831795,112.1505113
MSaaapap,-69.2854169,50.46640055,85.81303928
MSaaapp,-48.8803776,51.46810795,71.09047679
MSaap,-36.1104894,35.82408005,50.99558983
MSaapa,-40.6913511,38.80642035,56.33639166
MSaapaa,-45.2119609,44.90065165,63.81432861
MSaapaaa,-54.5977787,44.60355825,70.59013936
MSaapaap,-29.1861101,46.45423655,54.9896806
MSaapap,-5.2779357,44.54739355,44.99012701
MSaapapa,-23.311534,45.45605835,51.20636113
MSaapapp,4.4666219,44.57600545,44.93554595
MSaapp,12.4169198,39.18205045,41.24906734
MSaappa,12.1414083,45.19746205,46.90957018
MSaappp,33.7960711,42.11594695,54.10465179
MSaapppa,18.457741,42.14694135,46.23050546
MSaapppp,51.7124892,40.08517595,65.57994573
MSap,-27.2199487,32.11792945,42.33082935
MSapa,-36.9657969,31.39009315,48.69491247
MSapaa,-63.0531131,40.26605795,74.91777222
MSapaaa,-110.8831954,39.91541065,117.9201467
MSapaaaa,-134.8349749,41.33755775,141.0898665
MSapaap,-72.8109851,39.88772605,83.11723499
MSapaapp,-59.7974456,41.52757355,72.90784939
MSapap,-20.5851874,38.43451545,43.78240631
MSapapa,-57.6738603,37.38030605,68.85642035
MSapapaa,-87.3799222,37.26037725,95.0905372
MSapapp,-26.05993,39.00908255,47.11175228
MSapp,23.5789137,31.15664665,39.29949791
MSappa,5.3185586,39.31398635,39.85315652
MSappaa,-28.3203675,38.01361985,47.5577779
MSappap,3.8836598,37.27582335,37.66173995
MSappp,35.6830195,38.88448675,52.93068644
MSapppa,-10.1451816,33.66480715,35.40821032
MSapppp,23.2489821,36.90355265,43.8294559
MSp,14.074309,47.01528175,49.20775013
MSpa,-26.0656336,44.79022805,51.94848566
MSpaa,-30.3830698,49.56355005,58.2372769
MSpaaa,-60.7986888,57.05653755,83.45500435
MSpaaaa,-110.4785638,60.61766145,126.0792556
MSpaaaaa,-136.6030416,62.25030395,150.1767194
MSpaaaap,-106.8047093,61.25329355,123.1949289
MSpaaap,-73.1789607,62.45314505,96.29224641
MSpaaapa,-91.4793195,63.26136535,111.3100222
MSpaaapp,-62.5154325,61.08600295,87.51556351
MSpaap,-18.5753425,52.76600065,56.04485782
MSpaapa,-61.1691269,60.79768405,86.32768976
MSpaapaa,-86.2239332,63.28285545,107.0354332
MSpaapap,-56.8171022,63.99462245,85.67228909
MSpap,22.9710604,39.84277395,46.12444881
MSpapa,5.8264888,47.98410065,48.45067417
MSpapaa,-17.9559495,52.94873205,56.01269651
MSpapaaa,-36.7095189,53.81195735,65.2271986
MSpapaap,-10.7442484,55.81756735,56.95160009
MSpapap,17.6187713,52.71606085,55.68715383
MSpapapa,-5.4434931,54.28450235,54.65681183
MSpapapp,19.6248737,53.48271875,57.06954623
MSpapp,54.5588572,45.78578335,71.30701488
MSpappa,34.3756973,51.40127615,61.92286755
MSpappp,56.4013835,53.11403705,77.54645456
MSpp,42.3786137,48.89074085,64.79954961
MSppa,47.6550783,55.38386675,73.14619318
MSppaa,-15.6644471,62.50394835,64.53478154
MSppaaa,-93.4055798,69.10699195,116.2566855
MSppaaaa,-116.3795074,67.81747465,134.7563976
MSppaap,-57.4313593,68.52647825,89.49495065
MSppap,24.8148889,61.26798505,66.19526299
MSppapa,-43.3163787,71.86785995,84.00748536
MSppapaa,-76.7734267,74.53305485,107.081561
MSppapp,-16.0451639,72.51135255,74.38164063
MSppp,83.6204119,46.01682005,95.51598837
MSpppa,39.325878,56.73404355,69.11621116
MSpppaa,-20.2003845,66.36082325,69.4645547
MSpppap,11.4249261,67.70207815,68.75604483
MSpppp,66.553878,56.75290545,87.54101093
MSppppa,-1.2321006,74.02893885,74.14582113
MSppppp,28.7676527,72.88813805,78.46771029
P1,103.2699474,54.68250065,116.9403746
P2,143.845797,52.66889055,153.2520949
P3,156.6450998,48.26383285,163.9779239
P4,111.9273977,38.75540505,118.5241956
