,v,x,y
EMS,3051.636275,38.4723228,39.66015115
Ep,9769.744444,107.3271885,45.51383755
Epl,6746.603349,72.7568026,46.36407255
Epla,5787.212063,56.3259655,51.37250655
Eplaa,4874.309125,46.3258113,52.60899905
Eplap,8621.001361,84.2257028,51.17797225
Eplp,10749.76887,107.5814922,49.96105115
Eplpa,11495.34599,108.473119,52.98707225
Eplpp,13146.15029,128.0271831,51.34124635
Epr,11180.25863,97.2321835,57.49258235
Epra,8333.098878,66.0695612,63.06307115
Epraa,5419.069929,42.1569732,64.27252145
Eprap,9987.938783,82.4698767,60.55507285
Eprp,13652.67413,116.1398063,58.77689385
Eprpa,12057.48438,103.2515355,58.38888655
Eprpp,14018.91856,125.6777056,55.77329125
MS,-1354.898705,-16.5328261,40.97601635
MSa,-4141.97392,-53.3687938,38.80520455
MSaa,-6411.051091,-83.0720558,38.58729045
MSaaa,-8070.363846,-95.1187579,42.42256745
MSaaaa,-11483.84042,-115.3735804,49.76806815
MSaaaaa,-14388.90566,-137.1108008,52.47181685
MSaaaaaa,-16669.84978,-153.9340549,54.14607505
MSaaaaap,-13682.75681,-130.4378328,52.44934125
MSaaaap,-10419.61972,-100.8283782,51.67007495
MSaaaapa,-11803.62709,-111.361872,52.99671635
MSaaaapp,-8172.137401,-77.677178,52.60320735
MSaaap,-6100.692247,-65.4522342,46.60415585
MSaaapa,-8638.621813,-85.2942842,50.64009795
MSaaapaa,-9946.656198,-100.5762846,49.44831795
MSaaapap,-6993.171203,-69.2854169,50.46640055
MSaaapp,-5031.561102,-48.8803776,51.46810795
MSaap,-2587.250126,-36.1104894,35.82408005
MSaapa,-3158.171351,-40.6913511,38.80642035
MSaapaa,-4060.093014,-45.2119609,44.90065165
MSaapaaa,-4870.510405,-54.5977787,44.60355825
MSaapaap,-2711.636925,-29.1861101,46.45423655
MSaapap,-470.2365575,-5.2779357,44.54739355
MSaapapa,-2119.300899,-23.311534,45.45605835
MSaapapp,398.2083243,4.4666219,44.57600545
MSaapp,973.0407561,12.4169198,39.18205045
MSaappa,1097.521682,12.1414083,45.19746205
MSaappp,2846.707075,33.7960711,42.11594695
MSaapppa,1555.874655,18.457741,42.14694135
MSaapppp,4145.808457,51.7124892,40.08517595
MSap,-1748.496784,-27.2199487,32.11792945
MSapa,-2320.719616,-36.9657969,31.39009315
MSapaa,-5077.800612,-63.0531131,40.26605795
MSapaaa,-8851.896557,-110.8831954,39.91541065
MSapaaaa,-11147.49712,-134.8349749,41.33755775
MSapaap,-5808.529254,-72.8109851,39.88772605
MSapaapp,-4966.485641,-59.7974456,41.52757355
MSapap,-1582.363406,-20.5851874,38.43451545
MSapapa,-4311.733098,-57.6738603,37.38030605
MSapapaa,-6511.61773,-87.3799222,37.26037725
MSapapp,-2033.147921,-26.05993,39.00908255
MSapp,1469.279765,23.5789137,31.15664665
MSappa,418.1874804,5.3185586,39.31398635
MSappaa,-2153.119368,-28.3203675,38.01361985
MSappap,289.5332333,3.8836598,37.27582335
MSappp,2775.031798,35.6830195,38.88448675
MSapppa,-683.0711641,-10.1451816,33.66480715
MSapppp,1715.94007,23.2489821,36.90355265
MSp,1323.415206,14.074309,47.01528175
MSpa,-2334.971346,-26.0656336,44.79022805
MSpaa,-3011.785601,-30.3830698,49.56355005
MSpaaa,-6937.925341,-60.7986888,57.05653755
MSpaaaa,-13393.90436,-110.4785638,60.61766145
MSpaaaaa,-17007.16172,-136.6030416,62.25030395
MSpaaaap,-13084.28042,-106.8047093,61.25329355
MSpaaap,-9140.512494,-73.1789607,62.45314505
MSpaaapa,-11574.21331,-91.4793195,63.26136535
MSpaaapp,-7637.635788,-62.5154325,61.08600295
MSpaap,-1960.293069,-18.5753425,52.76600065
MSpaapa,-7437.882502,-61.1691269,60.79768405
MSpaapaa,-10912.9934,-86.2239332,63.28285545
MSpaapap,-7271.978008,-56.8171022,63.99462245
MSpap,1830.461534,22.9710604,39.84277395
MSpapa,559.15765,5.8264888,47.98410065
MSpapaa,-1901.489518,-17.9559495,52.94873205
MSpapaaa,-3950.822131,-36.7095189,53.81195735
MSpapaap,-1199.435617,-10.7442484,55.81756735
MSpapap,1857.58444,17.6187713,52.71606085
MSpapapa,-590.994628,-5.4434931,54.28450235
MSpapapp,2099.183201,19.6248737,53.48271875
MSpapp,4996.040031,54.5588572,45.78578335
MSpappa,3533.90942,34.3756973,51.40127615
MSpappp,5991.410346,56.4013835,53.11403705
MSpp,4143.84364,42.3786137,48.89074085
MSppa,5278.645013,47.6550783,55.38386675
MSppaa,-1958.179585,-15.6644471,62.50394835
MSppaaa,-12909.9573,-93.4055798,69.10699195
MSppaaaa,-15785.12859,-116.3795074,67.81747465
MSppaap,-7871.137588,-57.4313593,68.52647825
MSppap,3040.716484,24.8148889,61.26798505
MSppapa,-6226.110876,-43.3163787,71.86785995
MSppapaa,-11444.31605,-76.7734267,74.53305485
MSppapp,-2326.913073,-16.0451639,72.51135255
MSppp,7695.890894,83.6204119,46.01682005
MSpppa,4462.23215,39.325878,56.73404355
MSpppaa,-2681.028291,-20.2003845,66.36082325
MSpppap,1546.982479,11.4249261,67.70207815
MSpppp,7554.251891,66.553878,56.75290545
MSppppa,-182.4221999,-1.2321006,74.02893885
MSppppp,4193.641283,28.7676527,72.88813805
P1,11294.11793,103.2699474,54.68250065
P2,15152.39708,143.845797,52.66889055
P3,15120.58583,156.6450998,48.26383285
P4,8675.583268,111.9273977,38.75540505
