,v,x,y
ABplapap,-1528.182791,-13.552947,56.37824715
ABplapapa,4296.100881,51.6451889,41.59245975
ABplapapaa,8354.993922,114.3932707,36.51872995
ABplapapp,7463.46157,91.6559001,40.71457245
ABplapappp,12318.60137,154.4409564,39.88126485
ABplapp,-1202.134847,-11.9052277,50.48768815
ABplappa,-742.8136743,-8.3526667,44.46565995
ABplappaa,2870.696676,41.3324871,34.72688045
ABplappap,5323.279615,77.1691628,34.49097685
ABplappapa,6298.379999,91.3364997,34.47898715
ABplappp,3414.882288,40.8217113,41.82678995
ABplapppa,6587.156728,95.4839425,34.49353135
ABplapppaa,7513.805287,105.8016886,35.50891005
ABplapppap,9561.659736,124.1982485,38.49353695
ABplapppp,8678.681317,120.8964253,35.89304355
ABplappppp,13065.03728,149.2327223,43.77403655
ABplp,321.4643195,4.0314859,39.86921045
ABplpa,-980.4106821,-14.3469562,34.16789835
ABplpaa,-2066.666247,-29.9673379,34.48197925
ABplpaaa,-5413.516782,-85.6963416,31.58546025
ABplpaaaa,-5838.463509,-89.9987834,32.43634685
ABplpaaaaa,-5275.409823,-87.8475723,30.02592835
ABplpaaaap,-3402.074658,-62.5396407,27.19934605
ABplpaaap,-3479.886313,-57.9588687,30.02030915
ABplpaaapa,-2946.015791,-60.4606931,24.36306665
ABplpaaapp,-1872.245982,-39.1247851,23.92659765
ABplpaap,-3115.445853,-48.4905423,32.12426285
ABplpaapa,-3525.013954,-59.4527361,29.64551495
ABplpaapaa,-4290.449123,-79.4947788,26.98572905
ABplpaapap,-2648.339205,-55.5136671,23.85303785
ABplpaapp,-1297.104941,-21.9143261,29.59490825
ABplpaappa,-1509.501395,-32.4189746,23.28114035
ABplpaappp,-496.2390717,-11.1047051,22.34364025
ABplpap,1323.978197,21.8111792,30.35090825
ABplpapa,-2156.377033,-38.5193099,27.99085755
ABplpapaa,-2864.089122,-43.6712853,32.79144525
ABplpapaaa,-2425.897313,-37.5559966,32.29707015
ABplpapaap,-785.3695749,-12.9056529,30.42734765
ABplpapap,-1226.67977,-18.4282654,33.28256195
ABplpapapa,-263.7103336,-4.4121779,29.88437225
ABplpapapp,1542.367447,23.1655798,33.29006785
ABplpapp,435.5039977,7.7092581,28.24551935
ABplpappa,5.897053768,0.0825973,35.69761825
ABplpappaa,-966.5328375,-12.4027749,38.96437875
ABplpappp,2617.155469,35.5064121,36.85468785
ABplpapppa,3014.502345,36.7847907,40.97484705
ABplpapppp,6105.203903,68.8434051,44.34124005
ABplpp,3696.049579,47.1027271,39.23392345
ABplppa,2277.698651,27.6851091,41.13580775
ABplppaa,-1048.672719,-15.9427453,32.88871205
ABplppaaa,-772.1381176,-12.547147,30.76946965
ABplppaaaa,-1412.884792,-22.6374703,31.20677295
ABplppaap,1153.609238,17.3696958,33.20752565
ABplppaapa,822.8185719,14.385846,28.59819895
ABplppaapp,2507.568833,41.1465383,30.47120045
ABplppap,1535.896868,22.398503,34.28570355
ABplppapa,1915.259699,29.3445893,32.63394965
ABplppapaa,549.754779,9.8208034,27.98929765
ABplppapap,2093.54664,38.9826281,26.85230245
ABplppapp,4258.35675,64.1232539,33.20446555
ABplppappa,3463.341994,57.4356018,30.14978415
ABplppappp,5348.571314,84.1934884,31.76356875
ABplppp,5212.665244,73.8109099,35.31094015
ABplpppa,2586.880872,42.7405904,30.26257765
ABplpppaa,3550.454772,55.2496698,32.13100445
ABplpppaaa,3999.933453,63.0833821,31.70354315
ABplpppaap,6087.628025,91.2025531,33.37421935
ABplpppap,5935.353666,89.3333,33.22027545
ABplpppapa,8700.595676,110.8818455,39.23363485
ABplpppp,4884.487542,75.9738777,32.14583545
ABplppppa,4204.060089,59.2776253,35.46076675
ABplppppaa,3680.166545,50.9866309,36.08952465
ABplppppap,6008.221952,77.5597723,38.73284935
ABplppppp,6697.776186,86.7767636,38.59199115
ABplpppppa,8142.556615,90.4478962,45.01241575
ABplpppppp,10549.59233,114.6711761,45.99932035
ABpr,7904.474438,61.5336284,64.22889925
ABpra,7193.782252,50.397393,71.37057915
ABpraa,3426.220591,22.5730097,75.89197535
ABpraaa,-2725.784869,-17.0007651,80.16653525
ABpraaaa,-7794.906594,-49.7690861,78.31072665
ABpraaaaa,-14949.25198,-98.66248,75.75955915
ABpraaaaaa,-17981.45538,-111.9017004,80.34487105
ABpraaaaap,-16163.23441,-96.6171627,83.64577245
ABpraaaap,-11152.52741,-71.0018019,78.53693225
ABpraaaapa,-14507.7867,-88.3186582,82.13319245
ABpraaaapp,-11794.11676,-68.7798578,85.73815895
ABpraaap,-2266.495816,-13.980418,81.05965845
ABpraaapa,-12290.52266,-79.7446201,77.06176695
ABpraaapaa,-15355.38939,-100.916544,76.07964355
ABpraaapap,-13066.57885,-82.1452132,79.53341615
ABpraaapp,-6454.274613,-41.5483837,77.67178935
ABpraaappa,-10141.67479,-63.6172244,79.70856075
ABpraaappp,-6128.368761,-37.4402263,81.84203685
ABpraap,4641.062587,31.4022335,73.89701415
ABpraapa,1840.060934,11.2721139,81.62004705
ABpraapaa,-7151.257862,-44.4404007,80.45897145
ABpraapaaa,-16983.42439,-108.394328,78.34092755
ABpraapaap,-12589.94463,-77.6927248,81.02396115
ABpraapap,-1276.704726,-7.9453097,80.34329525
ABpraapapa,-9884.967163,-58.7268777,84.16050325
ABpraapapp,-5733.357293,-34.2144272,83.78566825
ABpraapp,8011.048148,51.2266357,78.19221425
ABpraappa,1722.847206,10.5733941,81.47086875
ABpraappp,7855.27197,49.6666239,79.07998725
ABprap,13063.64743,87.5161167,74.63566665
ABprapa,9746.385262,62.3721901,78.13085645
ABprapaa,7203.80768,44.6289424,80.70780185
ABprapaaa,4537.026723,28.3668399,79.97060545
ABprapaaaa,1914.009555,12.0922173,79.14220805
ABprapaaap,5489.627697,35.6573415,76.97752365
ABprapaap,10072.49071,64.3439097,78.27073885
ABprapaapa,7644.166137,49.2625999,77.58589835
ABprapap,14165.40339,89.6934538,78.96564795
ABprapapa,16090.08379,103.5636503,77.68210055
ABprapapaa,18217.32835,124.4832966,73.17177825
ABprapapp,19738.35404,137.9998998,71.51582745
ABprapappp,21858.15817,167.1086841,65.40102415
ABprapp,16367.23599,112.971013,72.43998065
ABprappa,16965.62448,112.4824922,75.41451185
ABprappaa,13443.17843,86.1144775,78.05411365
ABprappap,17865.56284,120.5074654,74.12637375
ABprappapa,16509.90115,105.1735918,78.48881485
ABprappp,19237.7014,142.1049822,67.68834245
ABprapppa,19045.71898,134.0864101,71.02031805
ABprapppaa,16327.0021,119.4250763,68.35667435
ABprapppap,17916.23068,137.4878774,65.15567415
ABprapppp,19726.75332,151.0397013,65.30320555
ABprappppp,18421.12275,159.1501843,57.87339435
ABprp,10686.52016,95.4460773,55.98197675
ABprpa,9276.14156,76.3515189,60.74628045
ABprpaa,10825.19409,75.3595221,71.82366465
ABprpaaa,3371.345939,22.1372972,76.14628625
ABprpaaaa,-7378.510108,-49.0429918,75.22491835
ABprpaaaaa,-11208.29506,-75.0838199,74.63855115
ABprpaaaap,-7691.363207,-49.267541,78.05710465
ABprpaaap,-2241.041608,-14.2436665,78.66800335
