Cell ID,x,y,z
0,0.632023529,0.543617703,0
1,0.965214975,0.543979651,0
2,0.974354071,0.863418141,0
3,0.942089662,0.803469057,0
4,0.936498932,0.819011685,0
5,0.94355466,0.974646808,0
6,0.927601529,0.761541873,0
7,0.941666342,0.608305024,0
8,0.606682106,0.755407563,0
9,0.978849814,0.603441366,0
10,0.765530142,0.823290377,0
11,0.981541769,0.980790641,0
12,0.980581914,0.606509556,0
13,0.55346596,0.901877528,0
14,0.544932857,0.805220446,0
15,0.543617703,0.733538482,0
16,0.937493943,0.967569599,0
17,0.950575696,0.742303765,0
18,0.548958934,0.837450417,0
19,0.549631356,0.977769705,0
20,0.564058732,0.581095968,0
21,0.945884379,0.938666884,0
22,0.809524424,0.880865051,0
23,0.824912384,0.790300991,0
24,0.561815805,0.95472728,0
25,0.555340561,0.546987077,0
26,0.759186809,0.921771287,0
27,0.959538529,0.939130537,0
28,0.633502898,0.548154804,0
29,0.96592008,0.94990115,0
30,0.959262375,0.922156356,0
31,0.638976429,0.544454488,0
32,0.925898267,0.928826804,0
33,0.573092269,0.905391976,0
34,0.626883953,0.623586979,0
35,0.960725528,0.976468008,0
36,0.78014419,0.809543543,0
37,0.976833062,0.725018277,0
38,0.981515766,0.980805158,0
39,0.595318793,0.808438641,0
40,0.949426175,0.614060827,0
41,0.798184245,0.956131318,0
42,0.948979086,0.879123809,0
43,0.9505372,0.555864904,0
44,0.981213403,0.905176784,0
45,0.603480668,0.970386556,0
46,0.771926585,0.748215925,0
47,0.935821018,0.590271927,0
48,0.76792774,0.89424296,0
49,0.970180179,0.976844459,0
50,0.684503121,0.71939363,0
51,0.593043085,0.599638005,0
52,0.969076483,0.925206519,0
53,0.976013089,0.973181364,0
54,0.564402496,0.682215987,0
55,0.652344828,0.682354323,0
56,0.706995591,0.970788866,0
57,0.548984091,0.933244583,0
58,0.885470705,0.591592295,0
59,0.612865647,0.738396885,0
60,0.822702093,0.979832875,0
61,0.904741989,0.865644679,0
62,0.9815108,0.551992772,0
63,0.869688319,0.793833467,0
64,0.887609491,0.97142754,0
65,0.978584446,0.925382813,0
66,0.981559555,0.62953631,0
67,0.946941597,0.731561522,0
68,0.696491506,0.975647707,0
69,0.593497838,0.930398675,0
70,0.976520014,0.568510747,0
71,0.968824312,0.848375951,0
72,0.966838061,0.981007111,0
73,0.958444848,0.980638241,0
74,0.914080272,0.874555096,0
75,0.979506263,0.544242909,0
76,0.889693004,0.848924734,0
77,0.981397495,0.980559458,0
78,0.882950363,0.888393225,0
79,0.589140419,0.575054566,0
80,0.952040767,0.706290858,0
81,0.978304174,0.940245348,0
82,0.979964175,0.971385032,0
83,0.964823105,0.770653413,0
84,0.962168599,0.558163404,0
85,0.75459498,0.914487735,0
86,0.976150086,0.977138456,0
87,0.700515055,0.817926899,0
88,0.604173189,0.556013661,0
89,0.918919145,0.749286866,0
90,0.603755398,0.965561848,0
91,0.938580456,0.94057909,0
92,0.641171386,0.696288609,0
93,0.98091249,0.550156226,0
94,0.969826829,0.84867742,0
95,0.758714207,0.969683603,0
96,0.546072937,0.970601353,0
97,0.979121419,0.830797495,0
98,0.960230296,0.569708803,0
99,0.981513547,0.64930347,0
100,0.74764563,0.881540869,0
101,0.628969656,0.979233287,0
102,0.970360517,0.965262712,0
103,0.657761276,0.863311238,0
104,0.543672991,0.596008834,0
105,0.941082051,0.549530246,0
106,0.842691879,0.718154977,0
107,0.717319228,0.915452258,0
108,0.6438656,0.979132065,0
109,0.551020637,0.940284276,0
110,0.927156816,0.78551414,0
111,0.96364183,0.576130899,0
112,0.6787427,0.634211227,0
113,0.846284738,0.830987392,0
114,0.977627892,0.965370715,0
115,0.941355951,0.978731781,0
116,0.930698607,0.903919459,0
117,0.574935677,0.711949421,0
118,0.688694556,0.545794467,0
119,0.854621683,0.633695007,0
120,0.865780201,0.85707991,0
121,0.959509738,0.972791591,0
122,0.979152755,0.9710811,0
123,0.638865354,0.86011333,0
124,0.847597814,0.68500519,0
125,0.858241281,0.543632534,0
126,0.926489993,0.712653443,0
127,0.61522209,0.906958784,0
128,0.969442779,0.978793135,0
129,0.884819275,0.966713304,0
130,0.782415654,0.827207214,0
